Plasmodium knowlesi
Plasmodium malariae
Plasmodium ovale
Plasmodium vivax
Pneumocystis jirovecii
Pseudoterranova decipiens
Pthirus pubis
Pythium insidiosum
Rhinocladiella mackenziei
Rhinosporidium seeberi
Rhizomucor pusillus
Rhizopus microsporus
Rhizopus oryzae
Rodentolepis nana
Saccharomyces cerevisiae
Saksenaea erythrospora
Saksenaea vasiformis
Sappinia diploidea
Sappinia pedata
Sarcocystis hominis
Sarcocystis suihominis
Sarcoptes scabiei
Scedosporium apiospermum
Scedosporium boydii
Schistosoma guineensis
Schistosoma haematobium
Schistosoma intercalatum
Schistosoma japonicum
Schistosoma malayensis
Schistosoma mansoni
Schistosoma mekongi
Scopulariopsis brevicaulis
Spirometra erinaceieuropaei
Sporothrix schenckii
Strongyloides stercoralis
Taenia multiceps
Taenia saginata
Taenia solium
Talaromyces marneffei
Thelazia callipaeda
Toxocara canis
Toxocara cati
Toxoplasma gondii
Trachipleistophora hominis
Trematosphaeria grisea
Trichinella britovi
Trichinella nativa
Trichinella nelsoni
Trichinella pseudospiralis
Trichinella spiralis
Trichomonas vaginalis
Trichophyton rubrum
Trichuris trichiura
Trichuris vulpis
Trypanosoma brucei
Trypanosoma cruzi
Tubulinosema acridophagus
Tunga penetrans
Uncinaria stenocephala
Vittaforma corneae
Wuchereria bancrofti
Candida auris
Candida glabrata
Aichivirus A
Akhmeta virus
Alphapapillomavirus 4
Alphapapillomavirus 7
Alphapapillomavirus 9
Andes orthohantavirus
Argentinian mammarenavirus
Australian bat lyssavirus
Avian orthoavulavirus 1
Banna virus
Barmah Forest virus
Bayou orthohantavirus
Betacoronavirus 1
Bhanja bandavirus
Black Creek Canal orthohantavirus
Borna disease virus
Bourbon virus
Bufavirus-3
Bundibugyo ebolavirus
Bunyamwera orthobunyavirus
Bwamba orthobunyavirus
Cache Valley orthobunyavirus
Cali mammarenavirus
California encephalitis orthobunyavirus
Cardiovirus A
Chandipura vesiculovirus
Chapare mammarenavirus
Chikungunya virus
Colorado tick fever coltivirus
Cowpox virus
Coxsackievirus
Crimean-Congo hemorrhagic fever orthonairovirus
Dabie bandavirus
Dengue virus
Dhori thogotovirus
Dobrava-Belgrade orthohantavirus
Dugbe orthonairovirus
Duvenhage lyssavirus
Eastern equine encephalitis virus
Echovirus
Enterovirus A
Enterovirus B
Enterovirus C
Enterovirus D
European bat lyssavirus
Everglades virus
Guanarito mammarenavirus
Guaroa orthobunyavirus
Hantaan orthohantavirus
Heartland bandavirus
Hendra henipavirus
Hepacivirus C
Hepatitis B virus
Hepatitis delta virus
Hepatovirus A
Human adenovirus sp.
Human alphaherpesvirus 1
Human alphaherpesvirus 2
Human alphaherpesvirus 3
Human astrovirus
Human betaherpesvirus 5
Human betaherpesvirus 6
Human betaherpesvirus 6A
Human betaherpesvirus 6B
Human betaherpesvirus 7
Human bocavirus
Human coronavirus 229E
Human coronavirus HKU1
Human gammaherpesvirus 4
Human gammaherpesvirus 8
Human immunodeficiency virus
Human mastadenovirus A
Human mastadenovirus B
Human mastadenovirus C
Human mastadenovirus D
Human mastadenovirus F
Human metapneumovirus
Human orthopneumovirus
Human orthorubulavirus 2
Human orthorubulavirus 4
Human polyomavirus 1
Human polyomavirus 10
Human polyomavirus 2
Human polyomavirus 4
Human polyomavirus 5
Human polyomavirus 8
Human respirovirus 1
Human respirovirus 3
Human rhinovirus sp.
Human torovirus
Ilesha orthobunyavirus
Ilheus virus
Influenza A virus
Influenza B virus
Influenza C virus
Isfahan vesiculovirus
Jamestown Canyon orthobunyavirus
Japanese encephalitis virus
Kyasanur Forest disease virus
La Crosse orthobunyavirus
Lassa mammarenavirus
Louping ill virus
Lujo mammarenavirus
Lymphocytic choriomeningitis mammarenavirus
Macacine alphaherpesvirus 1
Machupo mammarenavirus
Mammalian orthoreovirus
Mammalian rubulavirus 5
Marburg marburgvirus
Mayaro virus
Measles morbillivirus
Middelburg virus
Middle East respiratory syndrome-related coronavirus
Mokola lyssavirus
Molluscum contagiosum virus
Monkeypox virus
Mucambo virus
Mumps rubulavirus
Mupapillomavirus 1
Murray Valley encephalitis virus
Nairobi sheep disease orthonairovirus
Naples phlebovirus
New York hantavirus
Nipah henipavirus
Norwalk virus
Omsk hemorrhagic fever virus
Onyong-nyong virus
Orf virus
Oropouche orthobunyavirus
Orthohepevirus A
Orungo virus
Parechovirus A
Parechovirus B
Pegivirus C
Powassan virus
Primate T-lymphotropic virus 1
Primate T-lymphotropic virus 2
Primate erythroparvovirus 1
Pseudocowpox virus
Punta Toro phlebovirus
Puumala orthohantavirus
Rabies lyssavirus
Rhinovirus A
Rhinovirus C
Rift Valley fever phlebovirus
Rosavirus A
Ross River virus
Rotavirus A
Rotavirus B
Rotavirus C
Rubella virus
Russian Spring-Summer encephalitis virus
Saint Louis encephalitis virus
Salivirus A
Sapporo virus
Semliki Forest virus
Seoul orthohantavirus
Severe acute respiratory syndrome-related coronavirus
Sicilian phlebovirus
Sin Nombre orthohantavirus
Sindbis virus
Snowshoe hare orthobunyavirus
Spondweni virus
Sudan ebolavirus
Tanapox virus
Tick-borne encephalitis virus
Tonate virus
Toscana phlebovirus
Uukuniemi uukuvirus
Vaccinia virus
Variola virus
Venezuelan equine encephalitis virus
Vesicular stomatitis virus
Wesselsbron virus
West Nile virus
Western equine encephalitis virus
Whitewater Arroyo mammarenavirus
Yaba monkey tumor virus
Yellow fever virus
Zaire ebolavirus
Zika virus
unidentified human coronavirus
